Gender,ClassYear,GPA,CreditsEarned,TransferCredits,APCredits
F,U2,4,33,0,12
F,U4,3.63,45,71.1,8
M,U4,3.38,113,0,12
F,U2,2.21,28,0,0
F,U2,3.81,33,0,4
M,U3,3.04,56,28,0
M,U4,3.2,80,44,24
F,U4,2.58,66,30,0
M,U3,2.84,64,0,0
F,U4,3.92,106,3,24
F,U4,3.84,104,0,32
F,U4,3.58,70,0,52
F,U4,3.32,104,0,4
F,U2,3.67,42,0,0
F,U2,2.39,31,0,16
M,U4,3.28,92,0,32
F,U4,3.33,96,0,0
M,U4,3.78,96,0,16
M,U3,2.7,74,0,0
F,U4,3.73,72,0,20
F,U3,2.76,32,61,0
F,U2,2.86,28,0,20
M,U3,3.93,52,0,0
F,U3,3.06,72,0,4
F,U3,3.55,32,16,20
F,U2,2.81,32,0,8
M,U2,3.76,37,0,0
F,U3,3.47,72,0,20
F,U3,3.26,65,0,0
M,U2,3.39,40,0,0
M,U2,2.97,37,0,4
F,U3,3.69,73,0,16
M,U4,3.64,114,0,44
F,U3,3.18,60,0,8
M,U3,2.37,46,0,36
F,U3,3.65,68,4,12
F,U4,3.13,116,0,8
F,U4,3.34,120,6,28
M,U3,3.79,64,0,0
F,U4,3.35,98,0,16
F,U4,3.72,104,0,0
F,U3,1.96,20,32,0
F,U3,3.25,32,0,0
F,U3,3.64,64,0,0
F,U2,3.05,48,0,0
M,U2,3.34,36,0,12
F,U3,2.59,64,0,20
M,U3,4,16,52,16
M,U4,2.91,32,60,0
F,U2,3.82,45,0,0
M,U3,3.01,28,37,0
M,U4,2.85,108,0,8
M,U4,3.31,42,56,0
F,U4,2.97,108,0,0
F,U3,3.53,65,0,0
M,U4,3.81,112,6,24
F,U4,3.51,108,3,0
F,U3,2.43,60,0,0
M,U3,3.68,16,15,0
M,U4,3.22,126.5,0,0
F,U3,3.09,60,0,4
F,U4,3.53,93,0,0
F,U3,2.82,68,0,20
F,U2,2.58,16,0,0
M,U4,2.14,124,0,0
F,U3,3.14,66,0,0
F,U3,2.17,69,3,8
F,U3,3.04,80,0,8
F,U3,2.9,75,0,0
M,U2,3.19,32,0,0
F,U4,3.57,104,0,36
F,U4,3.14,94,0,4
F,U3,3.8,33,0,20
M,U4,2.93,112,0,0
F,U4,2.75,76,0,8
F,U2,3.93,32,0,0
M,U2,3.13,40,0,0
F,U2,3.03,40,0,0
F,U4,2.12,84,58.1,0
F,U4,3.14,64,30,0
F,U3,2.87,36,28,0
F,U3,3.15,65,10,0
F,U3,3.08,65,8,8
F,U2,3.39,28,0,0
F,U4,3.4,107,0,0
M,U2,2.88,32,0,0
F,U2,3.75,32,0,20
F,U3,3.4,60,0,20
F,U4,3.54,95,0,0
M,U4,3.01,74,0,32
F,U3,3.5,60,0,24
F,U3,3.11,85,0,0
F,U2,3.59,36,0,0
F,U3,3.2,32,28,0
F,U4,3.79,105,6,16
F,U4,2.98,100,4,20
F,U2,4,32,0,0
M,U4,3.51,62,57,0
M,U3,3.08,66,0,12
F,U4,3.42,100,9,0
F,U3,2.78,32,31,0
F,U4,2.87,95,0,32
F,U4,3.56,96,0,20
F,U3,3.21,32,0,20
F,U2,3.03,33,0,8
M,U4,2.8,100,0,0
F,U4,2.95,96,0,0
F,U3,3.72,72,0,16
F,U3,3.52,68,3,28
F,U3,2.93,67,0,12
F,U4,3.18,104,0,4
F,U3,3.34,64,0,20
M,U4,3.37,64,32,0
F,U4,2.39,84,44,0
F,U3,2.2,57,0,4
M,U2,2.71,32,8,0
F,U3,2.5,44,0,4
F,U3,3.34,68,6,16
M,U2,3.85,32,0,36
F,U2,3,32,0,8
F,U4,2.8,60,56,0
F,U3,2.63,60,0,20
F,U2,3.43,32,0,24
F,U4,3.46,98,8,16
F,U2,2.86,32,0,0
M,U2,3.06,32,0,12
F,U2,3.75,32,0,20
F,U2,2.9,29,0,4
M,U3,3.82,65,0,20
F,U3,3.75,62,0,0
F,U3,2.22,47,0,4
F,U2,2.96,29,0,4
M,U3,3.21,65,3,12
F,U2,3.82,36,0,12
F,U2,3.61,49,0,12
M,U2,3.31,34,0,28
M,U3,3.16,40,56,0
M,U4,3.11,100,0,12
M,U3,3.68,33,18,0
M,U3,3.29,32,6,32
M,U2,2.82,32,3,4
F,U2,3.24,33,0,12
M,U3,2.38,36,44,0
F,U4,3.33,74,6,16
F,U4,2.72,68,31,0
M,U3,3.56,68,0,48
M,U4,3.73,38,0,64
M,U4,2.93,100,0,0
M,U4,3.86,100,0,40
F,U3,2.45,66,0,4
F,U4,3.14,100,0,0
F,U3,3.51,72,0,4
F,U3,3.17,64,0,0
F,U4,3.1,96,0,0
M,U4,3.51,70,6,28
M,U3,2.85,34,36,0
M,U3,2.76,26,43,0
F,U3,3.28,53,19,0
M,U3,2.56,60,0,0
F,U3,3.31,64,0,32
M,U4,2.72,96,0,0
F,U2,3.75,33,0,52
M,U4,3.17,100,0,0
F,U3,3,41,0,20
F,U3,3.55,71,2.6,0
M,U3,3.92,44,0,0
F,U2,2.29,36,0,0
F,U4,3.24,92,0,12
M,U3,3.69,68,0,20
F,U2,2.38,20,0,0
M,U4,3.38,96,0,0
F,U4,3.62,101,6,32
F,U4,3.4,65,0,16
M,U4,3.01,146,0,0
M,U3,2.59,60,0,0
F,U4,2.84,108,7.8,4
F,U3,3.86,72,0,24
M,U4,3.22,111,0,0
M,U2,3.81,32,0,0
M,U2,2.89,34,0,0
M,U3,3.81,36,0,36
M,U4,3.6,96,0,44
F,U4,2.98,99,8,4
F,U3,2.96,32,21,0
M,U3,3.91,28,42,0
F,U4,3.47,85,11,16
F,U4,3.44,98,0,28
F,U4,3.31,108,0,0
M,U3,3.26,67,0,4
F,U3,2.6,28,47,0
M,U3,3.51,76,0,0
F,U4,3.05,110,0,0
F,U4,2.68,96,0,0
F,U3,3.85,68,0,20
F,U4,2.14,88,0,0
M,U4,3.36,96,0,8
M,U4,2.19,112,0,4
M,U2,3.21,32,0,20
F,U2,3.09,32,0,0
F,U3,2.86,57,0,20
M,U2,2.31,28,0,0
M,U4,3.56,107,24,4
F,U3,3.15,56,6,4
F,U2,3.68,32,12,0
F,U4,2.15,104,0,0
M,U4,3.83,101,0,28
M,U2,3.46,32,0,0
F,U2,3.48,32,0,0
M,U2,3.93,32,0,32
F,U4,2.71,68,32,0
M,U2,3.03,31,0,28
M,U3,3.01,64,0,8
M,U3,3.76,76,0,12
M,U4,2.8,84,0,32
M,U4,2.21,132,0,0
F,U3,3.53,65,0,8
F,U3,3.38,64,7,24
M,U4,3.03,89,0,40
F,U4,3.35,92,0,24
F,U3,2.96,63,0,0
M,U2,3.33,32,0,12
M,U2,1.96,28,0,0
F,U4,3.51,96,0,0
M,U3,3.55,63,0,0
F,U4,3.44,104,0,12
M,U4,3.92,36,0,64
M,U4,2.63,102,0,0
F,U2,2.29,32,0,0
M,U2,3.68,32,4,16
M,U4,2.93,108,0,0
F,U4,2.97,92,0,4
M,U3,3.42,68,0,12
F,U3,3.66,64,7,0
F,U3,3.16,68,3,16
F,U2,2.87,29,0,0
F,U3,3.1,68,0,0
F,U2,2.57,28,0,4
M,U3,2.48,69,9,12
M,U3,2.91,64,0,16
F,U3,2.69,57,0,0
F,U3,2.73,56,0,12
M,U4,2.92,88,28,44
F,U2,3.6,41,0,0
F,U4,3.3,36,59,8
M,U2,3.33,33,0,20
M,U2,3.35,32,0,0
M,U3,3.68,36,0,28
F,U3,2.47,68,0,4
M,U3,3.51,69,0,0
M,U4,2.93,92,0,8
F,U3,2.93,40,65,0
M,U3,3.44,40,30,0
F,U4,3.44,94,0,24
F,U2,3.03,24,0,0
M,U4,2.03,84,0,16
F,U4,2.93,96,0,0
M,U4,2.44,100,0,0
F,U3,3.21,64,0,20
M,U3,3.62,65,0,0
M,U2,3.34,42,0,24
M,U3,2.53,60,0,0
F,U2,2.79,32,0,12
F,U2,2.76,41,0,20
F,U4,3.27,97,0,20
M,U3,3.73,76,0,24
F,U3,2.79,72,12,16
M,U4,3.02,92,0,0
F,U2,3.21,32,10,0
F,U3,3.23,48,0,0
F,U3,3.17,36,28,12
F,U4,3.5,76,0,28
F,U4,3.73,116,0,0
F,U4,3.59,96,0,0
M,U4,3.79,140,0,0
F,U4,3.85,98,0,16
F,U2,2.29,24,0,0
F,U2,3.63,32,12,0
F,U3,3.75,68,16,28
F,U2,3.58,32,4,8
F,U2,2.95,32,0,0
M,U2,2.95,32,0,0
M,U4,2.71,88,0,12
M,U2,2.63,32,0,12
M,U2,3.04,32,0,0
F,U2,3.73,36,0,0
F,U3,3.18,38,54,0
F,U4,3.08,93,0,20
F,U4,3.57,112,0,20
M,U4,2.86,96,0,12
F,U3,3.82,80,0,4
M,U4,2.82,101,0,4
F,U3,3.44,64,0,0
M,U4,3.72,48,30,8
M,U2,3.55,33,0,4
M,U4,2.56,112,0,0
M,U3,3.04,32,11,0
F,U4,3.51,94,0,28
F,U4,3.78,108,0,36
M,U3,3.38,80,0,16
M,U4,3.83,104,4,24
M,U2,3.05,33,0,36
F,U2,3.14,36,0,16
M,U2,2.61,28,0,4
F,U4,3.19,96,0,0
F,U2,3.26,34,0,0
M,U2,2.28,22,0,0
F,U2,3.04,32,0,16
F,U4,3.89,97,11,24
F,U4,3.26,96,0,8
F,U4,3.81,97,3,8
F,U3,3.73,28,27,4
F,U4,3.25,104,0,0
M,U4,3.98,120,0,76
M,U2,3.33,29,0,16
F,U4,3.33,96,0,12
F,U3,2.57,64,13,8
M,U2,3.25,32,0,0
F,U4,2.2,104,0,4
F,U4,2.87,92,0,16
M,U4,3.18,100,3,28
F,U3,2.43,63,0,0
F,U2,2.64,33,0,4
F,U4,3.35,96,0,0
F,U4,3.54,68,4,12
F,U3,3.34,63,6,0
F,U4,3.37,92,0,0
F,U3,3.33,48,0,0
F,U4,3.55,60,48,0
F,U3,3.25,65,0,12
F,U3,3.16,72,0,12
F,U3,3.31,61,0,12
M,U4,3.49,102,0,24
M,U4,2.95,60,0,20
F,U4,3.32,154,0,0
F,U4,3.26,81,13,4
M,U2,3.17,28,0,0
M,U2,2.47,24,0,4
M,U4,3.41,110,0,0
M,U2,3.93,33,0,28
F,U3,3.71,33,0,36
M,U2,2.76,32,4,32
M,U4,3.71,117,24,8
M,U4,3.18,108,0,0
F,U2,2.96,32,3,20
M,U2,3.36,34,6,12
F,U2,3.43,32,0,0
M,U4,3.82,80,0,32
F,U4,3.53,99,3,20
F,U3,3.36,58,0,0
F,U2,3.08,35,0,16
M,U3,3.33,60,0,32
F,U4,3.22,100,0,8
M,U3,3.9,64,14,28
F,U3,2.89,64,0,0
F,U3,3.92,68,0,28
F,U2,3.56,32,0,24
F,U4,3.11,102,0,4
F,U4,3.55,76,0,0
F,U4,3.93,104,0,44
M,U4,2.73,76,0,0
M,U3,2.84,63,4,0
F,U3,2.56,64,0,0
F,U3,2.84,54,0,0
M,U4,3.76,99,0,0
F,U3,3.41,36,0,0
M,U3,3.71,32,0,32
M,U2,3.16,32,0,4
F,U4,2.78,98,0,4
F,U2,3.8,33,0,16
M,U4,3.11,96,6,12
M,U3,3.14,65,0,20
F,U4,2.45,64,45,0
F,U4,3.13,104,0,24
F,U3,3.64,66,0,16
M,U3,3.46,62,0,20
F,U4,2.17,84.5,25,0
M,U2,2.96,28,0,0
M,U4,3.54,96,0,24
F,U2,3.55,32,6,24
F,U2,3.23,32,0,12
M,U4,2.95,92,0,8
M,U3,3.74,31,0,40
F,U3,3.41,57,54,0
M,U4,3.6,112,6,4
F,U2,2.99,32,0,12
M,U2,3.84,33,0,0
F,U4,3.93,96,6,8
M,U3,2.67,56,8,0
F,U3,3.33,68,6,4
M,U4,2.71,93,4,8
F,U4,2.75,107,0,0
F,U3,2.69,60,0,16
M,U2,2.79,32,0,4
F,U2,3.24,33,0,0
F,U3,3.13,64,0,16
F,U3,3.39,72,3,20
M,U4,3.12,167,0,0
M,U4,2.81,97,0,12
M,U2,3.38,24,0,0
M,U2,3.01,42,0,0
F,U4,3.23,100,0,0
F,U3,3.56,85,0,0
M,U2,3.75,16,8,8
